"id","year","month","weekday","time_period","death","injuries","neighbourhood","longitude","latitude"
1586,2010,"November","Monday","Afternoon",0,0,"Humber Summit",-79.5694347191,43.7567271081
1588,2010,"November","Wednesday","Morning",0,1,"York University Heights",-79.499993016,43.7610581743
1591,2010,"November","Wednesday","Morning",0,0,"Oakdale-Beverley Heights",-79.509597645,43.7248922464
1596,2010,"November","Tuesday","Morning",0,1,"Glenfield-Jane Heights",-79.517721112,43.7572299852
1597,2010,"November","Wednesday","Afternoon",1,0,"Yonge-Bay Corridor",-79.3874053414,43.6531384922
1598,2010,"November","Saturday","Evening",0,2,"Rockcliffe-Smythe",-79.4875959057,43.6727464321
1600,2010,"November","Saturday","Night",0,2,"Rustic",-79.5037893471,43.7028788545
1601,2010,"November","Saturday","Evening",0,0,"York University Heights",-79.4855204023,43.7647041481
1602,2010,"November","Saturday","Afternoon",0,1,"NSA",0,0
1604,2010,"November","Monday","Evening",1,0,"Glenfield-Jane Heights",-79.5033842941,43.7410719421
1605,2010,"November","Monday","Afternoon",0,0,"Eglinton East",-79.2393141582,43.7405958795
1606,2010,"November","Monday","Morning",0,0,"Regent Park",-79.3584321644,43.661856201
1609,2010,"November","Saturday","Night",0,1,"Kensington-Chinatown",-79.4022536333,43.6520234924
1610,2010,"November","Monday","Afternoon",1,0,"Regent Park",-79.3581436642,43.6611945004
1611,2010,"November","Tuesday","Night",0,1,"West Humber-Clairville",-79.6090746781,43.7322329427
1612,2010,"December","Friday","Evening",0,0,"Oakwood Village",-79.436766805,43.6904186802
1614,2010,"December","Thursday","Night",0,1,"NSA",0,0
1618,2010,"December","Saturday","Afternoon",1,0,"Rockcliffe-Smythe",-79.488368707,43.6713892364
1620,2010,"December","Tuesday","Evening",0,1,"Dorset Park",-79.2822700956,43.7694224384
1621,2010,"December","Tuesday","Morning",0,0,"Dorset Park",-79.2891575869,43.7674662325
1622,2010,"December","Wednesday","Evening",0,0,"Black Creek",-79.5147305161,43.7672126887
1623,2010,"December","Wednesday","Afternoon",0,1,"Black Creek",-79.5133986154,43.7580650852
1624,2010,"December","Friday","Night",0,0,"Kingsview Village-The Westway",-79.5521509564,43.6957896768
1629,2011,"January","Sunday","Night",0,1,"Malvern East",-79.2061553851,43.8113197108
1631,2011,"January","Tuesday","Afternoon",0,0,"West Humber-Clairville",-79.6039050651,43.74363176
1632,2011,"January","Wednesday","Afternoon",0,1,"Flemingdon Park",-79.3280755342,43.7156249646
1635,2011,"January","Saturday","Night",0,1,"Mount Olive-Silverstone-Jamestown",-79.5870900924,43.7536173826
1638,2011,"February","Tuesday","Evening",1,0,"Humber Summit",-79.5490654926,43.7506438842
1640,2011,"February","Monday","Night",0,1,"York University Heights",-79.4990574244,43.7571145768
1641,2011,"February","Wednesday","Night",0,0,"Wellington Place",-79.3976305344,43.644944684
1642,2011,"February","Wednesday","Evening",0,1,"Mount Olive-Silverstone-Jamestown",-79.5863663707,43.7325015778
1643,2011,"February","Thursday","Afternoon",0,2,"Malvern East",-79.2135407767,43.8062993969
1644,2011,"February","Friday","Evening",1,0,"Golfdale-Cedarbrae-Woburn",-79.2211914593,43.7596000024
1646,2011,"February","Sunday","Night",1,0,"Weston",-79.5094489583,43.6973168664
1648,2011,"February","Friday","Afternoon",0,0,"Englemount-Lawrence",-79.4438748418,43.7194906566
1649,2011,"February","Wednesday","Evening",0,1,"Kingsview Village-The Westway",-79.5504260207,43.7051073123
1651,2011,"February","Saturday","Evening",1,0,"Malvern East",-79.2175621676,43.7981391924
1652,2011,"February","Monday","Evening",0,0,"Rockcliffe-Smythe",-79.488368707,43.6713892364
1653,2011,"March","Wednesday","Evening",0,0,"Rockcliffe-Smythe",-79.493716593,43.6797260069
1655,2011,"March","Saturday","Night",0,0,"Dorset Park",-79.2848786049,43.7600843415
1657,2011,"March","Friday","Night",0,0,"Wellington Place",-79.3907863389,43.6491253882
1659,2011,"March","Saturday","Evening",0,0,"Yorkdale-Glen Park",-79.4571023084,43.7246693548
1661,2011,"March","Sunday","Night",1,0,"Kingsview Village-The Westway",-79.5521509564,43.6957896768
1662,2011,"March","Tuesday","Evening",0,1,"Yorkdale-Glen Park",-79.4483828226,43.7220810557
1664,2011,"March","Monday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5901152661,43.7374479757
1666,2011,"March","Monday","Night",1,0,"Eglinton East",-79.2556178288,43.7350952824
1667,2011,"March","Thursday","Afternoon",0,0,"Yorkdale-Glen Park",-79.4504734127,43.7206602561
